1.1	1.1	2
1.2	2.2	5
0.9	2.8	5
1	3.9	6
0.8	5	6
1	6	9
1	6.9	8
0.9	8.1	6
1.2	9.2	5
1.15	10.15	2
1.8	1.1	3
1.9	2.1	5
2.1	3.15	6
2.15	3.8	7
2.2	4.9	9
1.85	6	10
2	7	9
2	8.1	7
2.2	9.2	5
1.8	10.1	2
3.1	1.1	3
3.2	1.9	5
3.15	3	7
3.1	4.1	13
2.85	5.1	16
2.9	5.8	21
2.8	6.9	28
3	8	20
3	9	10
3.15	9.8	6
4.2	1.1	1
3.9	2	2
3.85	3.15	5
4.15	4	8
4.1	5.2	13
3.85	5.8	15
3.8	6.9	16
3.9	7.8	15
3.8	9	9
4.2	10	7
5.1	0.9	10
4.9	2	5
4.8	3.1	0
5	3.9	1
5	4.8	5
5.15	6	6
5.2	7.1	6
4.85	8.2	7
4.8	8.9	6
4.9	10	6
6	2	15
6.15	3.1	10
6.2	3.8	5
5.9	5	1
5.8	6.1	0
5.95	7.8	2
6.1	8.9	4
6	9.8	4
7.2	1	8
7.1	2.15	15
6.8	3.2	20
6.9	4.1	7
7	4.8	10
7	5.9	5
7.1	7	10
7.15	8	0
7.1	9.2	1
6.8	9.8	1
8	1	6
8.1	2.2	7
8.15	3.1	8
7.9	4.15	10
7.8	4.85	5
7.8	5.9	4
8.2	8.1	4
8.1	9.1	1
8	9.8	0
